what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1464115876581
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1464115876689
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1464115876721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1464115890940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1464115905627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1464115907452
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1464115907574
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1464115907821
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1464115907821
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1464115907821
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1464115907821
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1464115907821
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1464115907821
stopped,bundle,oracle.eclipse.tools.glassfish,3.2.0.201101241555,"oracle.eclipse.tools.glassfish",1464115907821
stopped,bundle,oracle.eclipse.tools.weblogic.legacy,3.2.0.201101271036,"oracle.eclipse.tools.weblogic.legacy",1464115907821
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1464115907821
stopped,bundle,org.zeroturnaround.eclipse.wtp,1.3.0.201102091836,"org.zeroturnaround.eclipse.wtp",1464115907821
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1464115907821
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1464115907821
stopped,bundle,oracle.eclipse.tools.orm.ui,3.2.0.201101271036,"oracle.eclipse.tools.orm.ui",1464115907821
