what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1468147925391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468147928210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468147950090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1468147959378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1468147977868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1468147982537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468147984149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148092567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148190259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148198372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148218636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148222488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148248629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148252858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1468148262818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148267293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148270851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148271425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148274746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1468148302746
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148319583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148319598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1468148324268
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1468148327701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148331326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148336308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148337213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148394284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148409605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148414674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1468148418505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148427477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148431797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148435836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148440007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1468148444213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148447588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148449250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1468148451008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468148462720
