what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1464149699837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149700227
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1464149700258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149701756
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1464149701771
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1464149703050
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1464149703066
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1464149705297
opened,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1464149706498
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1464149706529
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.300.v20110427,"org.eclipse.jst.server.tomcat.core",1464149706560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149709509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149710585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149710881
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1464149711037
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149711240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149717480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149718837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149719134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149719274
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1464149722971
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1464149730132
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1464149733158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149735654
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1464149735732
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1464149735732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149737776
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1464149737838
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1464149738010
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1464149738025
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1464149738447
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1464149738774
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1464149738805
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1464149739399
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1464149741225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149743643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149769250
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1464149769255
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1464149824958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149850952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464149851080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464150018293
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1464150019181
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1464150023370
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1464150026747
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1464150029127
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1464150041758
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1464150042040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1464150053127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1464150063662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1464150079557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1464150083944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1464150089759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464150095517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1464150099406
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1464150100994
