127.0.0.1 - - [02/Dec/2016:08:36:51 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:36:58 -0800] "GET /Intern-Tracking/WEB-INF/classes/com/intern/project/LoginMainProjectManger.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:36:58 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:37:20 -0800] "GET /Intern-Tracking/LoginProjectManger.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:37:20 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:37:41 -0800] "POST /Intern-Tracking/aprojectMangerLogin.action;jsessionid=4D58C0313988C1E93854161C0B3A0F36 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:37:41 -0800] "GET /Intern-Tracking//myaction2.action HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking//addbatch11.action HTTP/1.1" 200 7296
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/xhtml/styles.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/utils.js HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/optiontransferselect.js HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/ajax/dojoRequire.js HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/css_xhtml/validation.js HTTP/1.1" 200 5535
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/xhtml/validation.js HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/dojo/struts_dojo.js HTTP/1.1" 200 545246
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/dojo/nls/dojo_en-us.js HTTP/1.1" 200 3686
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/incrementMonth.png HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dateIcon.gif HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:07 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/decrementMonth.png HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpCurveTL.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpMonthBg.png HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpCurveTR.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpHorizLine.gif HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpVertLine.gif HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpBg.gif HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpHorizLineFoot.gif HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpCurveBL.png HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpYearBg.png HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:15 -0800] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dpCurveBR.png HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [02/Dec/2016:08:38:25 -0800] "POST /Intern-Tracking/addBatchbyIntern.action HTTP/1.1" 200 279
