127.0.0.1 - - [03/Jan/2017:21:15:20 -0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:22 -0800] "GET /Intern-Tracking/home.jsp HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:22 -0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:28 -0800] "GET /Intern-Tracking/LoginAsIntern.jsp HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:28 -0800] "GET /Intern-Tracking/validation/css/reset.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:28 -0800] "GET /Intern-Tracking/validation/css/cmxform.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:28 -0800] "GET /Intern-Tracking/validation/css/cmxformTemplate.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:28 -0800] "GET /Intern-Tracking/validation/css/core.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:28 -0800] "GET /Intern-Tracking/validation/js/jquery-1.11.1.js HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:37 -0800] "GET /Intern-Tracking/AsAInternLogin?Iusername=abc&Ipass=abc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:37 -0800] "GET /Intern-Tracking//myaction3.action HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:40 -0800] "GET /Intern-Tracking//AllViewExam.action HTTP/1.1" 200 3930
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:53 -0800] "GET /Intern-Tracking//attemptExam.action?exam_id=7 HTTP/1.1" 200 12808
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:53 -0800] "GET /Intern-Tracking//ckeditor/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:53 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:54 -0800] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:54 -0800] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:54 -0800] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:54 -0800] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:54 -0800] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:15:54 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:16:27 -0800] "GET /Intern-Tracking/checkexamresult.action?dataa=&que=36&ua36=a&ua36=c&ca36=All+the+above%2C&que=37&ua37=c&ca37=All+the+Above%2C&que=38&ua38=c&ca38=All+the+Above%2C HTTP/1.1" 500 6264
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//attemptExam.action?exam_id=7 HTTP/1.1" 200 12808
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:16 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:18:39 -0800] "GET /Intern-Tracking/checkexamresult.action?dataa=&que=36&ua36=a&ca36=All+the+above%2C&que=37&ua37=d&ca37=All+the+Above%2C&que=38&ua38=a&ca38=All+the+Above%2C HTTP/1.1" 500 6264
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:10 -0800] "GET /Intern-Tracking//AllViewExam.action HTTP/1.1" 200 3930
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:13 -0800] "GET /Intern-Tracking//attemptExam.action?exam_id=21 HTTP/1.1" 200 12856
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking//style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking/struts/dojo/struts_dojo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking/struts/xhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking/struts/ajax/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking/struts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:21:36:14 -0800] "GET /Intern-Tracking/struts/xhtml/validation.js HTTP/1.1" 304 -
