127.0.0.1 - - [29/Mar/2017:04:59:34 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:35 -0700] "GET /Intern-Tracking/ HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:36 -0700] "GET /Intern-Tracking/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:36 -0700] "GET /Intern-Tracking/css/bootstrap-select.css HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:36 -0700] "GET /Intern-Tracking/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:36 -0700] "GET /Intern-Tracking/js/bootstrap-select.js HTTP/1.1" 200 69902
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:36 -0700] "GET /Intern-Tracking/js/jquery.min.js HTTP/1.1" 200 86711
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:36 -0700] "GET /Intern-Tracking/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:36 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:40 -0700] "GET /Intern-Tracking/LoginAsIntern.jsp HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:40 -0700] "GET /Intern-Tracking/validation/css/screen.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:40 -0700] "GET /Intern-Tracking/validation/js/jquery.js HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:41 -0700] "GET /Intern-Tracking/validation/js/Myvalidations.js HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:41 -0700] "GET /Intern-Tracking/validation/css/reset.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:41 -0700] "GET /Intern-Tracking/validation/css/core.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:41 -0700] "GET /Intern-Tracking/validation/js/jquery.validate.js HTTP/1.1" 200 46285
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:41 -0700] "GET /Intern-Tracking/validation/css/cmxformTemplate.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:41 -0700] "GET /Intern-Tracking/validation/css/cmxform.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:41 -0700] "GET /Intern-Tracking/validation/js/jquery-1.11.1.js HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:57 -0700] "GET /Intern-Tracking/AsAInternLogin?Iusername=abc&Ipass=abc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:58 -0700] "GET /Intern-Tracking//myaction3.action HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:58 -0700] "GET /Intern-Tracking//js/jquery.min.js HTTP/1.1" 200 86711
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:58 -0700] "GET /Intern-Tracking//js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:58 -0700] "GET /Intern-Tracking//css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [29/Mar/2017:04:59:58 -0700] "GET /Intern-Tracking//fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:01:32 -0700] "GET /Intern-Tracking//myaction3.action HTTP/1.1" 500 13138
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:09 -0700] "GET /Intern-Tracking/LoginAsIntern.jsp HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:10 -0700] "GET /Intern-Tracking/validation/css/cmxformTemplate.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:10 -0700] "GET /Intern-Tracking/validation/css/reset.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:10 -0700] "GET /Intern-Tracking/validation/css/cmxform.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:10 -0700] "GET /Intern-Tracking/validation/css/core.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:10 -0700] "GET /Intern-Tracking/validation/js/jquery-1.11.1.js HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:16 -0700] "GET /Intern-Tracking/AsAInternLogin?Iusername=abc&Ipass=abc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:17 -0700] "GET /Intern-Tracking//myaction3.action HTTP/1.1" 200 3682
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:20 -0700] "GET /Intern-Tracking//internApplyToLeave.jsp HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/css/screen.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/js/jquery.js HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//css/bootstrap-select.css HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//js/bootstrap-select.js HTTP/1.1" 200 69902
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/js/jquery.validate.js HTTP/1.1" 200 46285
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/js/Myvalidations.js HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/xhtml/styles.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/utils.js HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/ajax/dojoRequire.js HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/css_xhtml/validation.js HTTP/1.1" 200 5535
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/xhtml/validation.js HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/css/reset.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/css/core.css HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/css/cmxformTemplate.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/css/cmxform.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking//validation/js/jquery-1.11.1.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/dojo/struts_dojo.js HTTP/1.1" 200 545246
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/dojo/nls/dojo_en-us.js HTTP/1.1" 200 3686
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/dateIcon.gif HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/decrementMonth.png HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:21 -0700] "GET /Intern-Tracking/struts/dojo/src/widget/templates/images/incrementMonth.png HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:25 -0700] "GET /Intern-Tracking//viewLeave.action HTTP/1.1" 200 3639
0:0:0:0:0:0:0:1 - - [29/Mar/2017:05:02:34 -0700] "GET /Intern-Tracking//interviewdetails.jsp HTTP/1.1" 200 7365
