127.0.0.1 - - [23/Sep/2017:01:48:30 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/ HTTP/1.1" 200 67973
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/css/dashboard.css HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/css/style.css HTTP/1.1" 200 50805
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/css/popuo-box.css HTTP/1.1" 200 18054
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/js/modernizr.custom.min.js HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/js/responsiveslides.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/images/lines.png HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/images/logo.png HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/images/9.png HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:33 -0700] "GET /MoivePredictions/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 45732
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:48:34 -0700] "GET /MoivePredictions/assets/images/c.jpg HTTP/1.1" 200 27874
