127.0.0.1 - - [14/Jul/2017:09:11:55 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:56 -0700] "GET /e-Learning-System/ HTTP/1.1" 200 17013
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/css/team.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/js/darkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/images/about-img.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:57 -0700] "GET /e-Learning-System/assets1/images/work1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/work12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/service.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:58 -0700] "GET /e-Learning-System/assets1/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/team.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/team1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/team3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/team2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/team4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:11:59 -0700] "GET /e-Learning-System/assets1/images/contact.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:00 -0700] "GET /e-Learning-System/assets1/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:00 -0700] "GET /e-Learning-System/assets1/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:03 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:03 -0700] "GET /e-Learning-System/LoginPage HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:03 -0700] "GET /e-Learning-System/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:03 -0700] "GET /e-Learning-System/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/js/jquery2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/css/style-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/js/jquery.dcjqaccordion.2.7.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/css/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/js/jquery.scrollTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:04 -0700] "GET /e-Learning-System/assets/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "POST /e-Learning-System/loginUsingRoleId HTTP/1.1" 200 24261
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/css/morris.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/css/monthly.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/js/raphael-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/js/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/js/monthly.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/images/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/images/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/images/search-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/assets/images/nav-expand.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:28 -0700] "GET /e-Learning-System/loginUsingRoleId HTTP/1.1" 405 1045
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:35 -0700] "GET /e-Learning-System/logoutAdmin HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:53 -0700] "POST /e-Learning-System/loginUsingRoleId HTTP/1.1" 200 24261
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:53 -0700] "GET /e-Learning-System/css/morris.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:53 -0700] "GET /e-Learning-System/loginUsingRoleId HTTP/1.1" 405 1045
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:12:58 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 19657
0:0:0:0:0:0:0:1 - - [14/Jul/2017:09:13:59 -0700] "GET /e-Learning-System/registerTrainerByAdmin HTTP/1.1" 200 19622
